CountryCode,Country,Continent
AFG,Afghanistan,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Africa
AIA,Anguilla,North America
ATG,Antigua and Barbuda,North America
ARG,Argentina,South America
ARM,Armenia,Asia
ABW,Aruba,North America
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BHS,Bahamas,North America
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,North America
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,North America
BEN,Benin,Africa
BMU,Bermuda,North America
BTN,Bhutan,Asia
BOL,Bolivia,South America
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BRA,Brazil,South America
VGB,British Virgin Islands,North America
BRN,Brunei,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CPV,Cape Verde,Africa
CYM,Cayman Islands,North America
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,South America
CHN,China,Asia
COL,Colombia,South America
COM,Comoros,Africa
COK,Cook Islands,Oceania
CRI,Costa Rica,North America
HRV,Croatia,Europe
CUB,Cuba,North America
CUW,Curacao,North America
CYP,Cyprus,Europe
CZE,Czech Republic,Europe
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DOM,Dominican Republic,North America
COD,DR Congo,Africa
ECU,Ecuador,South America
EGY,Egypt,Africa
SLV,El Salvador,North America
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
FLK,Falkland Islands,South America
FRO,Faroe Islands,Europe
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GUF,French Guiana,South America
PYF,French Polynesia,Oceania
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GIB,Gibraltar,Europe
GRC,Greece,Europe
GRL,Greenland,North America
GRD,Grenada,North America
GLP,Guadeloupe,North America
GUM,Guam,Oceania
GTM,Guatemala,North America
GGY,Guernsey,Europe
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,North America
HND,Honduras,North America
HKG,Hong Kong,Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ISR,Israel,Asia
ITA,Italy,Europe
CIV,Ivory Coast,Africa
JAM,Jamaica,North America
JPN,Japan,Asia
JEY,Jersey,Europe
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,Macau,Asia
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MHL,Marshall Islands,Oceania
MTQ,Martinique,North America
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MYT,Mayotte,Africa
MEX,Mexico,North America
FSM,Micronesia,Oceania
MDA,Moldova,Europe
MCO,Monaco,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MSR,Montserrat,North America
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
NLD,Netherlands,Europe
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,North America
NER,Niger,Africa
NGA,Nigeria,Africa
NIU,Niue,Oceania
PRK,North Korea,Asia
MKD,North Macedonia,Europe
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Oceania
PSE,Palestine,Asia
PAN,Panama,North America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,Asia
POL,Poland,Europe
